EWS ID,ProjectNumber,Published,Bank Risk Rating,Project Status,EWS URL,Detailed Analysis URL,Project Name,City,Country Count,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Private Actor Count,Private Actor 1,Private Actor 2,Private Actor 3,Private Actor 4,Private Actor 5,Private Actor 6,Private Actor 7,Private Actor 8,Private Actor 9,Private Actor 10,Private Actor 11,Private Actor 12,Private Actor 13,Private Actor 14,Private Actor 15,Bank Count,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Sector Count,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Last Edited,Date Scraped,Date Disclosed,Board Date,Source URL,Project Cost,Investment Amount,Partners Contacted,Partners Responded,Communities Informed,Community Response,People Trained,Information Requested,Analysis URL,Lead Person Count,Lead Person 1,Lead Person 2,Lead Person 3,Lead Person 4,Lead Person 5,Lead Person 6,Lead Person 7
28164,ADB-49073-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/49073-001-support-for-silk-road-forum/,,Support for Silk Road Forum,,1,Georgia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Industry and Trade,Technical Cooperation,Transport,,,,,7/25/17,7/6/17,11/12/15,4/28/15,https://www.adb.org/projects/49073-001/main,0.23,0.23,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28162,ADB-49126-001,Published,U,Approved,https://ews.rightsindevelopment.org/projects/49126-001-project-management-support-to-the-ministry-of-tran/,,Project Management Support to the Ministry of Transport and Communication,,1,Armenia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Transport,,,,,,,1/2/18,7/6/17,3/29/17,5/8/15,https://www.adb.org/projects/49126-001/main,,0.43,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28163,ADB-48039-001,Published,B,Approved,https://ews.rightsindevelopment.org/projects/48039-001-enhancing-efficiency-in-rural-infrastructure/,,Enhancing Efficiency in Rural Infrastructure,,1,Uzbekistan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Water and Sanitation,,,,,,,4/5/18,7/6/17,3/31/17,5/8/15,https://www.adb.org/projects/48039-001/main,,0.6,Yes,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28160,ADB-42122-016,Published,B,Approved,https://ews.rightsindevelopment.org/projects/42122-016-third-primary-education-development-project-addit/,,Third Primary Education Development Project- Additional Financing,,1,Bangladesh,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Education and Health,,,,,,,11/6/17,7/6/17,4/14/15,5/20/15,https://www.adb.org/projects/42122-016/main,2185.2,666.33,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28157,ADB-47354-003,Published,B,Active,https://ews.rightsindevelopment.org/projects/47354-003-supporting-national-urban-health-mission/,,Supporting National Urban Health Mission,,1,India,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Education and Health,Law and Government,Technical Cooperation,,,,,11/6/17,7/6/17,3/20/17,5/28/15,https://www.adb.org/projects/47354-003/main,,302,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28154,ADB-46371-002,Published,C,Canceled,https://ews.rightsindevelopment.org/projects/46371-002-strengthening-economic-management-program-ii/,,Strengthening Economic Management Program II,,1,Bhutan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Finance,Law and Government,Technical Cooperation,,,,,11/6/17,7/6/17,3/9/17,6/2/15,https://www.adb.org/projects/46371-002/main,85.5,37.51,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28153,ADB-49003-001,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/49003-001-social-work-services-policy-and-delivery-modes-for/,,Social Work Services Policy and Delivery Modes for the Elderly with Special Difficulties,,1,China,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Education and Health,Law and Government,,,,,,10/19/17,7/6/17,3/31/17,6/3/15,https://www.adb.org/projects/49003-001/main,,0.4,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28150,ADB-49039-001,Published,B,Approved,https://ews.rightsindevelopment.org/projects/49039-001-hazelnut-value-chain-development-project/,,Hazelnut Value Chain Development Project,,1,Bhutan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Agriculture and Forestry,Industry and Trade,,,,,,11/6/17,7/6/17,6/2/15,6/11/15,https://www.adb.org/projects/49039-001/main,,3,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28147,ADB-48431-002,Published,U,Approved,https://ews.rightsindevelopment.org/projects/48431-002-preparing-youth-for-the-workplace-sector-developme/,,Preparing Youth for the Workplace Sector Development Program,,1,Myanmar,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Education and Health,,,,,,,10/26/17,7/6/17,9/30/16,6/19/15,https://www.adb.org/projects/48431-002/main,,2,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28140,ADB-44060-027,Published,FI,Approved,https://ews.rightsindevelopment.org/projects/44060-027-mff-small-and-medium-enterprise-investment-program/,,MFF Small and Medium Enterprise Investment Program Tranche 3 (Additional Financing),,1,Kazakhstan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Finance,,,,,,,1/10/18,7/6/17,9/16/15,6/24/15,https://www.adb.org/projects/44060-027/main,122.5,98,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28142,ADB-47381-001,Published,A,Active,https://ews.rightsindevelopment.org/projects/47381-001-mahaweli-water-security-investment-program/,,Mahaweli Water Security Investment Program,Mahaweli,1,Sri Lanka,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Agriculture and Forestry,Construction,Infrastructure,,,,,11/6/17,7/6/17,7/25/16,6/24/15,https://www.adb.org/projects/47381-001/main,621,513,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28143,ADB-49215-001,Published,B,Active,https://ews.rightsindevelopment.org/projects/49215-001-earthquake-emergency-assistance-project/,,Earthquake Emergency Assistance Project,,1,Nepal,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,4,Education and Health,Humanitarian Response,Transport,Water and Sanitation,,,,11/6/17,7/6/17,3/24/17,6/24/15,https://www.adb.org/projects/49215-001/main,243.35,317.7,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
